Nº;Fecha_corte;Sede;Area;Sub_Area;PC_ID;PC_Inventario;PC_Nombre;PC_Marca;PC_Modelo;PC_Procesador;PC_Grafica;PC_RAM;PC_SSD;PC_HDD;PC_Licencia;Monitor_Inventario;Monitor_Serie;Teclado_Inventario;Teclado_Serie
76;21/07/2022;Biblioteca;SUB GERENCIA DE EDUCACIÓN;SUB GERENCIA DE EDUCACION;436QTI5GX4042234;1458;Educacion-02;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;1457;0ASTHCNRA01358;1461;QTMK1210462
77;21/07/2022;Biblioteca;SUB GERENCIA DE EDUCACIÓN;SUB GERENCIA DE EDUCACION;436QTI5GX4042235;1470;Educacion-01;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;1469;0ASTHCNRA01202;1471;QTMK1210363
78;21/07/2022;Biblioteca;SUB GERENCIA DE EDUCACIÓN;SUB GERENCIA DE EDUCACION;NULL;1452;Educacion-04;Halion;Generico;Core i3-8100;NO;8GB;NULL;500GB;No;1450;NULL;1451;66903388259
79;21/07/2022;Palacio 1P;SUB GERENCIA DE FISCALIZACIÓN TRIBUTARIA;SUB GERENCIA DE FISCALIZACION TRIBUTARIA;436QTI5GX4042258;NULL;NULL;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;NULL;0ASTHCNRA01576;NULL;QTMK1210381
80;21/07/2022;Palacio 1P;SUB GERENCIA DE FISCALIZACIÓN TRIBUTARIA;SUB GERENCIA DE FISCALIZACION TRIBUTARIA;436QTI5GX4042257;438;DESKTOP-APOCEJD;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;436;0ASTHCNRA01764;437;QTMK1210375
81;21/07/2022;Palacio 1P;SUB GERENCIA DE FISCALIZACIÓN TRIBUTARIA;SUB GERENCIA DE FISCALIZACION TRIBUTARIA;436QTI5GX4042229;433;Tributaria-1;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;432;0ASTHCNRA01153;431;QTMK1210344
82;21/07/2022;Palacio 1P;SUB GERENCIA DE FISCALIZACIÓN TRIBUTARIA;SUB GERENCIA DE FISCALIZACION TRIBUTARIA;NULL;500;SGTYR-ANAVEDA;Halion;Generico;Core i3-8100;NO;4GB;NULL;500GB;NO;601;0ASTHCNRA01399;501;NULL
83;21/07/2022;Palacio 1P;SUB GERENCIA DE FISCALIZACIÓN TRIBUTARIA;SUB GERENCIA DE FISCALIZACION TRIBUTARIA;436QTI5GX4042228;454;Fiscalizacion-1;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;NULL;0ASTHCNRA01807;453;QTMK1210380
84;21/07/2022;Casa de la Juv;SUB GERENCIA DE FISCALIZACIÓN Y CONTROL;SUB GERENCIA DE FISCALIZACION Y CONTROL;436QTI5GX4042270;2194;SGFYC-01;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;2193;0ASTHCNRA01705;2195;QTMK1210468
85;21/07/2022;Casa de la Juv;SUB GERENCIA DE FISCALIZACIÓN Y CONTROL;SUB GERENCIA DE FISCALIZACION Y CONTROL;436QTI5GX4042215;3714;SGFYC-02;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;3712;0ASTHCNRA01348;3716;QTMK1210421
86;21/07/2022;Casa de la Juv;SUB GERENCIA DE FISCALIZACIÓN Y CONTROL;SUB GERENCIA DE FISCALIZACION Y CONTROL;412QTI3GX1011217;NULL;FISCA-04;Quitech;GX 120;Core i3-10100;NO;8GB;250GB;1TB;SI;NULL;0ASTHCNRA00667T;NULL;QTMK1210518
87;21/07/2022;Casa de la Juv;SUB GERENCIA DE FISCALIZACIÓN Y CONTROL;SUB GERENCIA DE FISCALIZACION Y CONTROL;436QTI5GX4042214;1852;SGFYC-03;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;1851;0ASTHCNRA01107;1853;QTMK1210460
88;21/07/2022;Casa de la Juv;SUB GERENCIA DE GESTIÓN DEL RIESGO DE DESASTRES;SUB GERENCIA DE GESTION DEL RIESGO DE DESASTRES;436QTI5GX4042250;1722;SGGRD-01;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;1723;0ASTHCNRA01420;1725;QTMK1210338
89;21/07/2022;Casa de la Juv;SUB GERENCIA DE GESTIÓN DEL RIESGO DE DESASTRES;SUB GERENCIA DE GESTION DEL RIESGO DE DESASTRES;436QTI5GX4042251;1708;SGGRD-02;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;1705;0ASTHCNRA01817;1710;QTMK1210373
90;21/07/2022;Casa de la Juv;SUB GERENCIA DE GESTIÓN DEL RIESGO DE DESASTRES;SUB GERENCIA DE GESTION DEL RIESGO DE DESASTRES;436QTI5GX4042266;1726;SGGRD-03;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;1778;0ASTHCNRA01385;1727;QTMK1210377
91;21/07/2022;Casa de la Juv;SUB GERENCIA DE GESTIÓN DEL RIESGO DE DESASTRES;SUB GERENCIA DE GESTION DEL RIESGO DE DESASTRES;436QTI5GX4042238;1718;SGGRD-04;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;1717;0ASTHCNRA01490;1720;QTMK1210346
92;21/07/2022;Palacio 3P;SUB GERENCIA DE LOGÍSTICA Y CONTROL PATRIMONIAL;SUB GERENCIA DE LOGISTICA Y CONTROL PATRIMONIAL;436QTI5GX4042221;1132;LOG-01;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;1130;0ASTHCNRA01168;1131;QTMK1210466
93;21/07/2022;Palacio 3P;SUB GERENCIA DE LOGÍSTICA Y CONTROL PATRIMONIAL;SUB GERENCIA DE LOGISTICA Y CONTROL PATRIMONIAL;436QTI5GX4042232;1139;LOG-02;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;1137;0ASTHCNRA01859;1141;QTMK1210366
94;21/07/2022;Palacio 3P;SUB GERENCIA DE LOGÍSTICA Y CONTROL PATRIMONIAL;SUB GERENCIA DE LOGISTICA Y CONTROL PATRIMONIAL;436QTI5GX4042268;1158;LOG-05;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;1154;0ASTHCNRA01367;1157;QTMK1210345
95;21/07/2022;Palacio 3P;SUB GERENCIA DE LOGÍSTICA Y CONTROL PATRIMONIAL;SUB GERENCIA DE LOGISTICA Y CONTROL PATRIMONIAL;412QTI3GX1011214;NULL;LOG-04;Quitech;GX 120;Core i3-10100;NO;8GB;250GB;1TB;SI;NULL;0ASTHCNRA00221;NULL;QTMK1210512
96;21/07/2022;Palacio 3P;SUB GERENCIA DE LOGÍSTICA Y CONTROL PATRIMONIAL;SUB GERENCIA DE LOGISTICA Y CONTROL PATRIMONIAL;412QTI3GX1011213;NULL;LOG-03;Quitech;GX 120;Core i3-10100;NO;8GB;250GB;1TB;SI;NULL;0ASTHCNRA00195M;NULL;QTMK1210519
97;21/07/2022;Palacio 3P;SUB GERENCIA DE LOGÍSTICA Y CONTROL PATRIMONIAL;SUB GERENCIA DE LOGISTICA Y CONTROL PATRIMONIAL;NULL;707;LOG-05;Halion;Generico;Core i3-8100;NO;8GB;NULL;500GB;NO;1142;ADVAN14V0400178;708;65815703165
98;21/07/2022;Palacio 3P;SUB GERENCIA DE LOGÍSTICA Y CONTROL PATRIMONIAL;SUB GERENCIA DE LOGISTICA Y CONTROL PATRIMONIAL;NULL;994;LOG-07;Dell;OptiPlex 7040;Core i5-6500;NO;8GB;NULL;1TB;NO;991;9YT7X2D2;992;NULL
99;21/07/2022;Palacio 3P;SUB GERENCIA DE LOGÍSTICA Y CONTROL PATRIMONIAL;SUB GERENCIA DE LOGISTICA Y CONTROL PATRIMONIAL;MJ05TTVF;1144;LOG-08;Lenovo;ThinkCentre;Core i5-7500;NO;8GB;240GB;NULL;SI;1143;ADVAN15V0801380;1146;65815957417
100;21/07/2022;Palacio 1P;SUB GERENCIA DE LOGÍSTICA Y CONTROL PATRIMONIAL;ALMACEN;NULL;671;Almacen-01;Halion;Generico;Core i3-8100;NO;4GB;NULL;500GB;NO;675;312NDUN5Q854;673;65814782500
101;21/07/2022;Palacio 1P;SUB GERENCIA DE LOGÍSTICA Y CONTROL PATRIMONIAL;ALMACEN;NULL;682;Almacen-02;Halion;Generico;Core i3-8100;NO;8GB;NULL;1TB;NO;681;ADVAN15V0900848;680;65814920848
102;21/07/2022;Casa de la Juv;SUB GERENCIA DE OBRAS PRIVADAS Y CATASTRO;SUB GERENCIA DE OBRAS PRIVADAS Y CATASTRO;NULL;1940;OBRA-PRI-01;HALION;Generico;Core i5-9400F;GFORCE 210 1GB;8GB;NULL;500GB;NO;1939;CN-0FTGC7-FCC00-76F-C14U-A00;1941;65815703166
103;21/07/2022;Casa de la Juv;SUB GERENCIA DE OBRAS PRIVADAS Y CATASTRO;SUB GERENCIA DE OBRAS PRIVADAS Y CATASTRO;436QTI5GX4042255;1583;OBRA-PRI-02;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;1587;009NTPCHX457;1585;QTMK1210354
104;21/07/2022;Casa de la Juv;SUB GERENCIA DE OBRAS PRIVADAS Y CATASTRO;SUB GERENCIA DE OBRAS PRIVADAS Y CATASTRO;NULL;1950;OBRA-PRI-03;DEEPCOOL;Generico;Core i9-9900KF;GTX 1650 8GB;16GB;1TB;NULL;SI;2275;0ASTHCNRA01539;2276;2032SC30BH38
105;21/07/2022;Casa de la Juv;SUB GERENCIA DE OBRAS PRIVADAS Y CATASTRO;SUB GERENCIA DE OBRAS PRIVADAS Y CATASTRO;NULL;2093;OBRA-PRI-04;DEEPCOOL;Generico;Core i9-9900KF;GTX 1650 8GB;16GB;1TB;NULL;SI;2008;009NTPCHX324;2007;2032SC30BH28
106;21/07/2022;Casa de la Juv;SUB GERENCIA DE OBRAS PRIVADAS Y CATASTRO;SUB GERENCIA DE OBRAS PRIVADAS Y CATASTRO;NULL;2266;OBRA-PRI-05;DEEPCOOL;Generico;Core i9-9900KF;GTX 1650 8GB;16GB;1TB;NULL;SI;2217;009NTPCHX111;2270;2032SC30BGN8
107;21/07/2022;Casa de la Juv;SUB GERENCIA DE OBRAS PRIVADAS Y CATASTRO;SUB GERENCIA DE OBRAS PRIVADAS Y CATASTRO;NULL;2265;OBRA-PRI-06;DEEPCOOL;Generico;Core i9-9900KF;GTX 1650 8GB;16GB;1TB;NULL;SI;2264;009NTPCHX264;2263;2032SC30CGQ8
108;21/07/2022;Casa de la Juv;SUB GERENCIA DE OBRAS PÚBLICAS;SUB GERENCIA DE OBRAS PÚBLICAS;D11S004;1638;OBRA-PUB-01;DELL;OPTIPLEX 7060 SFF;Core i7-8700;NO;8GB;240GB;NULL;SI;1641;CN-0FTGC7-FCC00-761-CANU-A00;1640;CN-0F2JV2-LO300-89Q-0I1N-A03
109;21/07/2022;Casa de la Juv;SUB GERENCIA DE OBRAS PÚBLICAS;SUB GERENCIA DE OBRAS PÚBLICAS;D11S004;1654;OBRA-PUB-02;DELL;OPTIPLEX 7060 SFF;Core i7-8700;NO;8GB;240GB;NULL;SI;1657;CN-0FTGC7-FCC00-761-CA7U-A00;2169;CN-0F2JV2-LO300-89Q-0I60-A03
110;21/07/2022;Casa de la Juv;SUB GERENCIA DE OBRAS PÚBLICAS;SUB GERENCIA DE OBRAS PÚBLICAS;D11S004;1645;OBRA-PUB-03;DELL;OPTIPLEX 7060 SFF;Core i7-8700;NO;8GB;240GB;NULL;SI;1646;CN-0FTGC7-FCC00-761-ANFU-A00;1622;CN-0F2JV2-LO300-837-05TB-A03
111;21/07/2022;Casa de la Juv;SUB GERENCIA DE OBRAS PÚBLICAS;SUB GERENCIA DE OBRAS PÚBLICAS;NULL;1625;OBRA-PUB-04;ANTRYX;Generico;Core i7-4790;NO;8GB;240GB;NULL;NO;1621;ZZ8EH4LFC00102L;1647;XED507012855
112;21/07/2022;Casa de la Juv;SUB GERENCIA DE OBRAS PÚBLICAS;SUB GERENCIA DE OBRAS PÚBLICAS;D11S004;1664;OBRA-PUB-05;DELL;OPTIPLEX 7060 SFF;Core i7-8700;NO;8GB;240GB;NULL;SI;1663;CN-0FTGC7-FCC00-761-CA9U-A00;1666;CN-0F2JV2-LO300-89Q-0I5Y-A03
113;21/07/2022;Casa de la Juv;SUB GERENCIA DE PARTICIPACIÓN VECINAL;SUB GERENCIA DE PARTICIPACIÓN VECINAL;NULL;2202;ARICARDO;ADVANCE;VISSION VS4353;Core i3-4160;NO;8GB;NULL;1TB;NO;2204;AJBC69A001808;2203;65814920849
114;21/07/2022;Casa de la Juv;SUB GERENCIA DE PARTICIPACIÓN VECINAL;SUB GERENCIA DE PARTICIPACIÓN VECINAL;412QTI3GX1011210;NULL;PV-03;Quitech;GX 120;Core i3-10100;NO;8 GB;250 GB;1 TB;Si;NULL;0ASTHCNRA00297;NULL;QTMK1210521
115;21/07/2022;Casa de la Juv;SUB GERENCIA DE PARTICIPACIÓN VECINAL;SUB GERENCIA DE PARTICIPACIÓN VECINAL;QS00690109;1598;ADMINISTRADOR-S;LENOVO;QS320407EH;AMD E350;NO;4GB;NULL;500GB;NO;NULL;NULL;1595;20118700
116;21/07/2022;Palacio 1P;SUB GERENCIA DE RECAUDACION Y EJECUTORIA COACTIVA;SUB GERENCIA DE RECAUDACION Y EJECUTORIA COACTIVA;436QTI5GX4042275;345;Coactiva-1;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;344;0ASTHCNRA0;343;QTMK1210420
117;21/07/2022;Palacio 1P;SUB GERENCIA DE RECAUDACION Y EJECUTORIA COACTIVA;SUB GERENCIA DE RECAUDACION Y EJECUTORIA COACTIVA;D11S004;488;Recaudacion-01;Dell;OptiPlex 7060;Core i7-8700;NO;8GB;NULL;1TB;SI;487;JF635D2;489;882-0DW1-A03
118;21/07/2022;Palacio 1P;SUB GERENCIA DE RECAUDACION Y EJECUTORIA COACTIVA;SUB GERENCIA DE RECAUDACION Y EJECUTORIA COACTIVA;NULL;88;SGRyEC-001;Halion;Generico;Core i5-9400F;SI;8GB;NULL;500TB;NO;83;V8C9H9NB505081;87;NULL
119;21/07/2022;Palacio 1P;SUB GERENCIA DE RECAUDACION Y EJECUTORIA COACTIVA;SUB GERENCIA DE RECAUDACION Y EJECUTORIA COACTIVA;436QTI5GX4042242;459;DESKTOP-7GL53IV;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;326;312NDW5Q935;NULL;QTMK1210339
120;21/07/2022;Palacio 1P;SUB GERENCIA DE RECAUDACION Y EJECUTORIA COACTIVA;SUB GERENCIA DE RECAUDACION Y EJECUTORIA COACTIVA;412QTI3GX1011208;NULL;SGRYEC-01;Quitech;GX 120;Core i3-10100;NO;8GB;250GB;1TB;Si;NULL;0ASTHCNRA00199;NULL;QTMK1210514
121;21/07/2022;Palacio 1P;SUB GERENCIA DE RECAUDACION Y EJECUTORIA COACTIVA;SUB GERENCIA DE RECAUDACION Y EJECUTORIA COACTIVA;412QTI3GX1011209;NULL;SGRYEC-02;Quitech;GX 120;Core i3-10100;NO;8 GB;250 GB;1 TB;Si;NULL;0ASTHCNRA00682;NULL;QTMK1210513
122;21/07/2022;Palacio 3P;SUB GERENCIA DE RECURSOS HUMANOS;SUB GERENCIA DE RECURSOS HUMANOS;436QTI5GX4042241;1043;RR-HH-2;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;1042;0ASTHCNRA00955;1046;QTMK1210463
123;21/07/2022;Palacio 3P;SUB GERENCIA DE RECURSOS HUMANOS;SUB GERENCIA DE RECURSOS HUMANOS;436QTI5GX4042249;1056;Personal-1;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;1057;0ASTHCNRA01089;1061;QTMK1210464
124;21/07/2022;Palacio 3P;SUB GERENCIA DE RECURSOS HUMANOS;SUB GERENCIA DE RECURSOS HUMANOS;436QTI5GX4042239;958;RR-HH-03;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;957;0ASTHCNRA00928;956;QTMK1210350
125;21/07/2022;Palacio 3P;SUB GERENCIA DE RECURSOS HUMANOS;SUB GERENCIA DE RECURSOS HUMANOS;436QTI5GX4042252;953;RR-HH-04;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;952;0ASTHCNRA01394;954;QTMK1210365
126;21/07/2022;Palacio 3P;SUB GERENCIA DE RECURSOS HUMANOS;SUB GERENCIA DE RECURSOS HUMANOS;NULL;947;SGRH-RSANTOS;Avatec;Generico;Core i5-3470;NO;4GB;NULL;500GB;NO;929;ETW3C01686SL0;948;NULL
127;21/07/2022;Casa de la Juv;SUB GERENCIA DE SALUD Y SANIDAD;SUB GERENCIA DE SALUD Y SANIDAD;436QTI5GX4042247;1894;SGS-02;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;1896;0ASTHCNRA00953;1895;QTMK1210459
128;21/07/2022;Casa de la Juv;SUB GERENCIA DE SALUD Y SANIDAD;SUB GERENCIA DE SALUD Y SANIDAD;NULL;1526;SGS-01;HALION;Generico;Core i5-9400F;GFORCE 210 1GB;4GB;240GB;NULL;NO;1540;L27B5CA000823;1541;65814920846
129;21/07/2022;Casa de la Juv;SUB GERENCIA DE SALUD Y SANIDAD;SUB GERENCIA DE SALUD Y SANIDAD;1000000000;1887;SGS-04;DELL;OPTIPLEX 7060 SFF;Core i3-8100;NO;12GB;240GB;NULL;NO;1885;ADVAN15V0901447;1886;65815927964
130;21/07/2022;Casa de la Juv;SUB GERENCIA DE SALUD Y SANIDAD;SUB GERENCIA DE SALUD Y SANIDAD;436QTI5GX4042227;1600;SGS-03;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;1601;0ASTHCNRA00919;2205;QTMK1210469
131;21/07/2022;Casa de la Juv;SUB GERENCIA DE SEGURIDAD CIUDADANA;SUB GERENCIA DE SEGURIDAD CIUDADANA ;412QTI3GX1011212;NULL;SGSC-03;Quitech;GX 120;Core i3-10100;NO;8 GB;250 GB;1 TB;NULL;NULL;0ASTHCNRA00745;NULL;QTMK1210523
132;21/07/2022;Casa de la Juv;SUB GERENCIA DE SEGURIDAD CIUDADANA;SUB GERENCIA DE SEGURIDAD CIUDADANA ;436QTI5GX4042218;778;SGSC-02;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;776;0ASTHCNRA01387;777;QTMK1210424
133;21/07/2022;Palacio 1P;SUB GERENCIA DE SEGURIDAD CIUDADANA;CÁMARAS;436QTI5GX4042216;NULL;Cámaras-1;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;NULL;0ASTHCNRA01430;NULL;QTMK1210455
134;21/07/2022;Palacio 3P;SUB GERENCIA DE TECNOLOGÍA DE LA INFORMACIÓN Y SISTEMAS;SUB GERENCIA DE TECNOLOGIA DE LA INFORMACION Y SISTEMAS;436QTI5GX4042243;580;SGTI-4;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;579;0ASTHCNRA01335;578;QTMK1210341
135;21/07/2022;Palacio 3P;SUB GERENCIA DE TECNOLOGÍA DE LA INFORMACIÓN Y SISTEMAS;SUB GERENCIA DE TECNOLOGIA DE LA INFORMACION Y SISTEMAS;436QTI5GX4042212;871;SGTI-3;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;870;0ASTHCNRA01374;872;QTMK1210467
136;21/07/2022;Palacio 3P;SUB GERENCIA DE TECNOLOGÍA DE LA INFORMACIÓN Y SISTEMAS;SUB GERENCIA DE TECNOLOGIA DE LA INFORMACION Y SISTEMAS;436QTI5GX4042226;880;SGTI-1;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;879;0ASTHCNRA01437;571;QTMK1210340
137;21/07/2022;Palacio 3P;SUB GERENCIA DE TECNOLOGÍA DE LA INFORMACIÓN Y SISTEMAS;SUB GERENCIA DE TECNOLOGIA DE LA INFORMACION Y SISTEMAS;436QTI5GX4042263;582;SGTI-2;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;581;0ASTHCNRA01392;NULL;QTMK1210423
138;21/07/2022;Palacio 1P;SUB GERENCIA DE TESORERÍA;SUB GERENCIA DE TESORERÍA;436QTI5GX4042223;267;Tesoreria-1;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;264;0ASTHCNRA01553;NULL;QTMK1210349
139;21/07/2022;Palacio 1P;SUB GERENCIA DE TESORERÍA;SUB GERENCIA DE TESORERÍA;436QTI5GX4042213;272;Tesoreria-2;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;272;0ASTHCNRA01622;NULL;QTMK1210347
140;21/07/2022;Palacio 1P;SUB GERENCIA DE TESORERÍA;SUB GERENCIA DE TESORERÍA;436QTI5GX4042222;285;Tesoreria-3;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;283;0ASTHCNRA00210;NULL;QTMK1210371
141;21/07/2022;Palacio 1P;SUB GERENCIA DE TESORERÍA;SUB GERENCIA DE TESORERÍA;436QTI5GX4042210;276;Tesoreria-4;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;'000275;0ASTHCNRA01471;NULL;QTMK1210458
142;21/07/2022;Palacio 1P;SUB GERENCIA DE TESORERÍA;SUB GERENCIA DE TESORERÍA;7421956;262;Tesoreria-5;Lenovo;ThinkCentre;Core i5-7500;NO;8GB;NULL;1TB;SI;258;ZZQYH4TJC01450Z;260;NULL
143;21/07/2022;Palacio 1P;SUB GERENCIA DE TESORERÍA;SUB GERENCIA DE TESORERÍA;NULL;253;Tesoreria-6;Halion;Generico;Core i3-8100;NO;8GB;NULL;500GB;NO;251;ZZQYH4TJC01588Y;252;NULL
144;21/07/2022;Casa de la Juv;SUB GERENCIA DE TRANSPORTE;SUB GERENCIA DE TRANSPORTE;436QTI5GX4042236;1494;NULL;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;1493;0ASTHCNRA01382;1497;QTMK1210362
145;21/07/2022;Casa de la Juv;SUB GERENCIA DE TRANSPORTE;SUB GERENCIA DE TRANSPORTE;D13S003;1483;JPEREZ;DELL;VOSTRO 3470;Core i5-8400;NO;4GB;NULL;1TB;SI;1481;CN-0FTGC7-FCC00-61-C4WU-A00;1482;CN-0F2JV2-71616-75J-01PE-A03
146;21/07/2022;Casa de la Juv;SUB GERENCIA DE TRANSPORTE;SUB GERENCIA DE TRANSPORTE;436QTI5GX4042237;1479;DESKTOP-079D2B6;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;1477;0ASTHCNRA01356;1480;QTMK1210361
